Month,Sales of shampoo over a three year period
1-Jan-18,266
2-Jan-18,145.9
3-Jan-18,183.1
4-Jan-18,119.3
5-Jan-18,180.3
6-Jan-18,168.5
7-Jan-18,231.8
8-Jan-18,224.5
9-Jan-18,192.8
10-Jan-18,122.9
11-Jan-18,336.5
12-Jan-18,185.9
1-Feb-18,194.3
2-Feb-18,149.5
3-Feb-18,210.1
4-Feb-18,273.3
5-Feb-18,191.4
6-Feb-18,287
7-Feb-18,226
8-Feb-18,303.6
9-Feb-18,289.9
10-Feb-18,421.6
11-Feb-18,264.5
12-Feb-18,342.3
1-Mar-18,339.7
2-Mar-18,440.4
3-Mar-18,315.9
4-Mar-18,439.3
5-Mar-18,401.3
6-Mar-18,437.4
7-Mar-18,575.5
8-Mar-18,407.6
9-Mar-18,682
10-Mar-18,475.3
11-Mar-18,581.3
12-Mar-18,646.9
